Date,Open,High,Low,Close,Adj Close
2020/07/20,15.38,15.43,15.1,15.32,10.5
2020/07/21,15.32,16.0,15.12,15.74,10.8
2020/07/22,15.3,15.5,15.2,15.31,10.5
2020/07/23,15.15,15.17,15.05,15.14,10.4
2020/07/24,15.15,15.19,15.01,15.05,10.3
2020/07/27,15.14,15.14,14.98,14.98,10.3
2020/07/28,15.0,15.05,14.85,14.85,10.2
2020/07/29,14.85,14.96,14.85,14.88,10.2
2020/07/30,14.96,15.01,14.89,15.0,10.3
2020/07/31,15.02,15.07,15.01,15.05,10.3
2020/08/03,15.06,15.08,14.97,14.98,10.3
2020/08/04,14.99,15.03,14.94,15.02,10.3
2020/08/05,15.04,15.17,15.04,15.16,10.4
2020/08/06,15.21,15.26,15.15,15.15,10.4
2020/08/07,15.16,15.19,15.08,15.1,10.4
2020/08/10,15.15,15.16,15.11,15.14,10.4
2020/08/11,15.17,15.17,15.06,15.08,10.3
2020/08/12,15.08,15.08,14.97,15.01,10.3
2020/08/13,15.07,15.1,15.05,15.07,10.3
2020/08/14,15.08,15.15,15.05,15.14,10.4
2020/08/17,15.19,15.28,15.18,15.27,10.5
2020/08/18,15.3,15.31,15.2,15.27,10.5
2020/08/19,15.3,15.34,15.18,15.19,10.4
2020/08/20,15.17,15.17,14.76,14.87,10.2
2020/08/21,14.98,15.0,14.84,14.9,10.2
2020/08/24,14.93,14.95,14.86,14.94,10.2
2020/08/25,14.99,15.05,14.96,15.0,10.3
2020/08/26,15.01,15.03,14.99,15.02,10.3
2020/08/27,15.06,15.06,14.96,14.99,10.3
2020/08/28,14.97,15.0,14.93,14.97,10.3
2020/08/31,15.0,15.02,14.87,14.87,10.2
2020/09/01,14.88,14.88,14.81,14.85,10.2
2020/09/02,14.89,14.9,14.79,14.83,10.2
2020/09/03,14.86,14.97,14.84,14.88,10.2
2020/09/04,14.8,14.8,14.72,14.77,10.1
2020/09/07,14.78,14.89,14.77,14.79,10.1
2020/09/08,14.83,14.85,14.79,14.81,10.2
2020/09/09,14.75,14.76,14.63,14.75,10.1
2020/09/10,14.79,14.8,14.76,14.78,10.1
2020/09/11,14.78,14.8,14.73,14.76,10.1
2020/09/14,14.79,14.86,14.79,14.86,10.2
2020/09/15,14.9,14.9,14.86,14.89,10.2
2020/09/16,14.91,14.92,14.89,14.89,10.2
2020/09/17,14.89,14.9,14.79,14.79,10.1
2020/09/18,14.81,14.84,14.79,14.83,10.2
2020/09/21,14.84,14.85,14.72,14.73,10.1
2020/09/22,14.72,14.72,14.63,14.65,10.0
2020/09/23,14.66,14.7,14.6,14.6,10.0
2020/09/24,14.51,14.53,14.32,14.33,9.82
2020/09/25,14.34,14.4,14.2,14.24,9.76
2020/09/28,14.29,14.52,14.29,14.5,9.94
2020/09/29,14.58,14.6,14.51,14.53,9.96
2020/09/30,14.53,14.61,14.53,14.58,9.99
2020/10/05,14.6,14.64,14.52,14.54,9.97
2020/10/06,14.59,14.62,14.58,14.6,10.0
2020/10/07,14.61,14.62,14.56,14.6,10.0
2020/10/08,14.65,14.66,14.59,14.66,10.0
2020/10/12,14.67,14.7,14.63,14.65,10.0
2020/10/13,14.65,14.66,14.57,14.62,10.0
2020/10/14,14.62,14.69,14.62,14.64,10.0
2020/10/15,14.64,14.65,14.52,14.57,9.99
2020/10/16,14.57,14.57,14.5,14.5,9.94
2020/10/19,14.51,14.6,14.51,14.55,9.97
2020/10/20,14.55,14.55,14.5,14.51,9.95
2020/10/21,14.53,14.53,14.47,14.5,9.94
2020/10/22,14.5,14.5,14.46,14.5,9.94
2020/10/23,14.51,14.54,14.51,14.54,9.97
2020/10/26,14.58,14.63,14.57,14.6,10.0
2020/10/27,14.59,14.59,14.54,14.57,9.99
2020/10/28,14.57,14.61,14.54,14.55,9.97
2020/10/29,14.48,14.54,14.4,14.49,9.93
2020/10/30,14.46,14.47,14.4,14.42,9.88
2020/11/02,14.42,14.45,14.4,14.42,9.88
2020/11/03,14.43,14.54,14.43,14.51,9.95
2020/11/04,14.52,14.58,14.49,14.58,9.99
2020/11/05,14.59,14.64,14.59,14.61,10.0
2020/11/06,14.63,14.66,14.62,14.65,10.0
2020/11/09,14.73,14.8,14.72,14.76,10.1
2020/11/10,14.79,14.81,14.75,14.79,10.1
2020/11/11,14.81,14.99,14.8,14.99,10.3
2020/11/12,14.99,15.0,14.89,14.94,10.2
2020/11/13,14.92,14.97,14.89,14.97,10.3
2020/11/16,15.01,15.11,15.01,15.1,10.4
2020/11/17,15.13,15.16,15.09,15.13,10.4
2020/11/18,15.12,15.22,15.1,15.22,10.5
2020/11/19,15.2,15.23,15.16,15.21,10.5
2020/11/20,15.19,15.23,15.16,15.23,10.5
2020/11/23,15.3,15.44,15.3,15.4,10.6
2020/11/24,15.44,15.45,15.35,15.36,10.6
2020/11/25,15.4,15.42,15.31,15.34,10.5
2020/11/26,15.37,15.41,15.32,15.41,10.6
2020/11/27,15.4,15.43,15.38,15.43,10.6
2020/11/30,15.48,15.55,15.35,15.35,10.6
2020/12/01,15.35,15.47,15.34,15.47,10.6
2020/12/02,15.5,15.56,15.47,15.54,10.7
2020/12/03,15.55,15.68,15.54,15.6,10.7
2020/12/04,15.66,15.76,15.64,15.76,10.8
2020/12/07,15.83,15.91,15.8,15.91,10.9
2020/12/08,15.91,16.0,15.86,16.0,11.0
2020/12/09,16.0,16.15,16.0,16.14,11.1
2020/12/10,16.13,16.13,15.94,15.98,11.0
2020/12/11,15.98,16.07,15.82,15.98,11.0
2020/12/14,15.98,16.0,15.92,15.95,11.0
2020/12/15,15.95,15.95,15.67,15.69,10.8
2020/12/16,15.77,15.92,15.77,15.92,10.9
2020/12/17,15.93,15.93,15.85,15.91,10.9
2020/12/18,15.91,15.93,15.86,15.86,10.9
2020/12/21,15.86,15.86,15.69,15.84,10.9
2020/12/22,15.82,15.88,15.69,15.7,10.8
2020/12/23,15.68,15.79,15.65,15.74,10.8
2020/12/24,15.77,15.86,15.77,15.83,10.9
2020/12/25,15.88,15.95,15.88,15.89,10.9
2020/12/28,15.92,16.03,15.92,16.03,11.0
2020/12/29,16.06,16.09,15.99,16.02,11.0
2020/12/30,16.02,16.17,16.0,16.16,11.1
2020/12/31,16.19,16.2,16.11,16.14,11.1
2021/01/04,16.1,16.23,16.1,16.2,11.1
2021/01/05,16.2,16.22,16.11,16.21,11.1
2021/01/06,16.24,16.31,16.02,16.1,11.1
2021/01/07,16.18,16.26,16.17,16.24,11.2
2021/01/08,16.32,16.5,16.3,16.5,11.3
2021/01/11,16.57,16.68,16.57,16.67,11.5
2021/01/12,16.69,16.73,16.51,16.56,11.4
2021/01/13,16.59,16.89,16.59,16.87,11.6
2021/01/14,16.87,17.03,16.84,17.0,11.7
2021/01/15,17.07,17.15,16.84,16.87,11.6
2021/01/18,16.86,16.86,16.43,16.7,11.5
2021/01/19,16.72,16.8,16.72,16.76,11.5
2021/01/20,16.76,16.78,16.35,16.4,11.3
2021/01/21,16.44,16.6,16.44,16.5,11.3
2021/01/22,16.5,16.69,16.48,16.65,11.5
2021/01/25,16.66,16.86,16.63,16.84,11.6
2021/01/26,16.86,16.91,16.63,16.68,11.5
2021/01/27,16.7,16.88,16.7,16.81,11.6
2021/01/28,16.63,16.76,16.55,16.62,11.4
2021/01/29,16.67,16.71,16.36,16.36,11.3
2021/02/01,16.3,16.45,16.25,16.45,11.3
2021/02/02,16.51,16.68,16.5,16.61,11.4
2021/02/03,16.68,16.7,16.61,16.67,11.5
2021/02/04,16.67,16.68,16.57,16.62,11.4
2021/02/05,16.7,16.78,16.68,16.74,11.5
2021/02/17,16.89,17.0,16.8,16.93,11.6
2021/02/18,16.95,17.05,16.93,16.99,11.7
2021/02/19,17.0,17.06,16.93,17.05,11.7
2021/02/22,17.08,17.29,17.08,17.25,11.9
2021/02/23,17.25,17.45,17.19,17.43,12.0
2021/02/24,17.48,17.55,17.34,17.37,11.9
2021/02/25,17.38,17.48,17.36,17.43,12.1
2021/02/26,17.35,17.35,17.09,17.14,11.9
2021/03/02,17.24,17.29,17.08,17.08,11.8
2021/03/03,17.1,17.24,17.05,17.24,12.0
2021/03/04,17.23,17.23,16.98,17.1,11.9
2021/03/05,16.99,17.07,16.88,17.0,11.8
2021/03/08,17.08,17.18,17.0,17.02,11.8
2021/03/09,17.02,17.14,16.97,17.14,11.9
2021/03/10,17.19,17.2,17.15,17.16,11.9
2021/03/11,17.22,17.44,17.22,17.39,12.1
2021/03/12,17.45,17.5,17.41,17.5,12.1
2021/03/15,17.5,17.61,17.5,17.6,12.2
2021/03/16,17.61,17.69,17.61,17.65,12.2
2021/03/17,17.68,17.68,17.57,17.6,12.2
2021/03/18,17.67,17.83,17.67,17.72,12.3
2021/03/19,17.72,17.72,17.6,17.67,12.3
2021/03/22,17.67,17.76,17.61,17.74,12.3
2021/03/23,17.77,17.84,17.77,17.8,12.3
2021/03/24,17.8,17.81,17.75,17.78,12.3
2021/03/25,17.78,17.88,17.77,17.85,12.4
2021/03/26,17.88,18.0,17.88,17.99,12.5
2021/03/29,18.04,18.25,18.04,18.21,12.6
2021/03/30,18.3,18.47,18.23,18.45,12.8
2021/03/31,18.45,18.53,18.39,18.39,12.8
