Date,Open,High,Low,Close,Adj Close
2003/06/30,37.1,37.4,36.92,37.08,4.49
2003/07/01,37.09,38.1,37.09,38.05,4.61
2003/07/02,38.17,38.82,38.1,38.69,4.69
2003/07/03,40.6,40.6,38.81,39.0,4.72
2003/07/04,39.1,39.26,38.75,39.26,4.76
2003/07/07,39.6,41.0,39.6,41.0,4.97
2003/07/08,42.0,42.0,40.7,41.19,4.99
2003/07/09,41.3,41.3,40.81,41.22,4.99
2003/07/10,41.2,41.2,40.05,40.05,4.85
2003/07/11,39.6,39.97,39.3,39.91,4.83
2003/07/14,39.95,41.0,39.92,40.66,4.92
2003/07/15,40.7,40.86,40.19,40.19,4.87
2003/07/16,40.5,40.98,40.24,40.85,4.95
2003/07/17,40.5,40.65,39.8,39.8,4.82
2003/07/18,39.78,39.98,39.55,39.92,4.84
2003/07/21,40.0,40.25,39.4,39.4,4.77
2003/07/22,39.41,39.98,39.41,39.98,4.84
2003/07/23,40.3,40.5,40.0,40.05,4.85
2003/07/24,40.2,41.23,40.2,41.23,4.99
2003/07/25,41.0,41.34,40.85,41.23,4.99
2003/07/28,41.9,41.94,41.57,41.58,5.04
2003/07/29,41.54,41.54,40.83,41.02,4.97
2003/07/30,41.0,41.02,40.55,40.6,4.92
2003/07/31,40.66,41.0,40.44,40.87,4.95
2003/08/01,41.28,41.6,41.05,41.6,5.04
2003/08/04,41.47,41.55,41.21,41.4,5.01
2003/08/05,41.5,41.61,40.5,40.5,4.91
2003/08/06,40.2,40.3,40.06,40.23,4.87
2003/08/07,40.35,40.77,39.97,40.7,4.93
2003/08/08,40.7,40.7,40.18,40.18,4.87
2003/08/11,39.9,40.18,39.68,40.1,4.86
2003/08/12,40.34,40.65,40.34,40.55,4.91
2003/08/13,41.0,42.45,41.0,42.45,5.14
2003/08/14,42.29,42.55,42.0,42.3,5.12
2003/08/15,42.66,43.5,42.66,42.72,5.17
2003/08/18,43.0,43.1,42.52,42.8,5.18
2003/08/19,43.5,43.6,42.8,43.0,5.21
2003/08/20,42.8,43.28,42.8,43.19,5.23
2003/08/21,43.19,44.0,42.8,44.0,5.33
2003/08/22,44.0,44.59,43.95,44.04,5.33
2003/08/25,44.1,44.39,43.79,44.35,5.37
2003/08/26,44.25,44.25,43.4,43.46,5.26
2003/08/27,43.28,43.97,43.28,43.62,5.28
2003/08/28,43.63,43.95,43.49,43.56,5.28
2003/08/29,43.6,44.92,43.6,44.92,5.44
2003/09/01,46.4,46.4,44.79,45.15,5.47
2003/09/02,45.23,45.52,44.9,45.52,5.51
2003/09/03,45.9,45.9,45.0,45.0,5.45
2003/09/04,45.1,45.1,44.51,44.51,5.39
2003/09/05,45.0,45.25,44.7,45.03,5.45
2003/09/08,44.8,46.0,44.59,45.95,5.57
2003/09/09,46.5,46.59,45.7,45.7,5.54
2003/09/10,45.5,45.6,44.8,45.1,5.46
2003/09/12,45.04,45.47,44.8,45.47,5.51
2003/09/15,45.45,45.45,44.92,45.0,5.45
2003/09/16,44.6,45.49,44.6,45.45,5.5
2003/09/17,45.83,45.99,45.7,45.79,5.55
2003/09/18,45.8,45.8,45.4,45.68,5.53
2003/09/19,45.68,46.0,45.6,45.8,5.55
2003/09/22,45.5,45.5,45.0,45.0,5.45
2003/09/23,44.7,45.0,44.7,44.8,5.43
2003/09/24,44.98,45.0,44.71,44.85,5.43
2003/09/25,44.7,44.9,44.2,44.85,5.43
2003/09/26,44.85,44.9,44.7,44.85,5.43
2003/09/29,44.8,44.81,44.6,44.71,5.42
2003/09/30,44.71,44.9,44.61,44.7,5.41
2003/10/01,44.51,44.51,44.06,44.16,5.35
2003/10/02,44.79,45.4,44.6,45.05,5.46
2003/10/03,45.2,45.41,45.07,45.31,5.49
2003/10/06,45.7,46.34,45.7,46.25,5.6
2003/10/07,46.4,46.4,46.18,46.28,5.61
2003/10/08,46.3,46.38,45.87,46.0,5.57
2003/10/09,46.0,46.2,45.9,46.14,5.59
2003/10/13,46.4,47.19,46.4,47.19,5.72
2003/10/14,47.35,47.52,47.01,47.01,5.69
2003/10/15,47.01,47.3,46.81,47.05,5.7
2003/10/16,47.05,47.75,46.98,47.7,5.78
2003/10/17,47.8,47.87,47.51,47.79,5.79
2003/10/20,47.58,48.1,47.58,48.0,5.81
2003/10/21,48.0,48.25,47.49,47.8,5.79
2003/10/22,47.69,47.86,47.43,47.8,5.79
2003/10/23,47.3,47.38,47.03,47.1,5.7
2003/10/24,47.0,47.2,46.83,46.95,5.69
2003/10/27,46.95,47.15,46.93,47.0,5.69
2003/10/28,47.0,47.89,47.0,47.85,5.8
2003/10/29,48.5,48.6,48.0,48.0,5.81
2003/10/30,48.21,49.0,48.0,48.16,5.83
2003/10/31,48.15,48.27,47.81,48.0,5.81
2003/11/03,48.0,48.07,47.79,48.0,5.81
2003/11/04,48.25,48.55,48.0,48.0,5.81
2003/11/05,48.0,48.5,48.0,48.44,5.87
2003/11/06,48.55,48.77,47.2,47.6,5.77
2003/11/07,47.51,47.78,47.2,47.78,5.79
2003/11/10,47.6,47.78,47.49,47.51,5.75
2003/11/11,47.4,47.49,47.0,47.18,5.71
2003/11/12,47.18,47.23,47.0,47.02,5.7
2003/11/13,47.35,47.58,47.3,47.35,5.74
2003/11/14,47.5,47.55,47.25,47.55,5.76
2003/11/17,47.3,47.3,46.65,46.7,5.66
2003/11/18,46.7,46.79,46.38,46.6,5.64
2003/11/19,46.0,46.27,45.75,45.99,5.57
2003/11/20,46.19,46.19,45.6,45.6,5.52
2003/11/21,45.3,45.6,45.1,45.57,5.52
2003/11/24,45.57,45.6,45.3,45.58,5.52
2003/11/25,46.02,46.26,45.89,45.95,5.57
2003/11/26,46.19,46.19,45.93,46.0,5.57
2003/11/27,46.0,46.0,45.46,45.48,5.51
2003/11/28,46.1,46.1,45.0,45.0,5.45
2003/12/01,45.0,46.2,44.95,46.2,5.6
2003/12/02,46.26,46.27,46.0,46.15,5.59
2003/12/03,46.15,46.25,46.01,46.07,5.58
2003/12/04,46.07,46.2,45.85,46.2,5.6
2003/12/05,46.4,46.42,46.19,46.27,5.6
2003/12/08,45.78,46.3,45.61,46.3,5.61
2003/12/09,46.0,46.09,45.8,46.0,5.57
2003/12/10,46.0,46.0,45.42,45.74,5.54
2003/12/11,45.74,45.88,45.7,45.8,5.55
2003/12/12,46.79,46.79,46.0,46.1,5.58
2003/12/15,46.1,46.45,46.1,46.45,5.63
2003/12/16,46.29,46.29,46.1,46.18,5.59
2003/12/17,46.2,46.25,44.9,45.3,5.49
2003/12/18,45.4,45.4,45.2,45.4,5.5
2003/12/19,45.59,45.6,45.12,45.15,5.47
2003/12/22,45.15,45.8,45.15,45.78,5.54
2003/12/23,45.78,45.81,45.6,45.8,5.55
2003/12/24,45.8,46.15,45.7,45.9,5.56
2003/12/25,45.99,46.11,45.81,45.81,5.55
2003/12/26,45.9,46.1,45.7,45.75,5.54
2003/12/29,45.75,45.82,45.3,45.42,5.5
2003/12/30,45.79,45.9,45.45,45.9,5.56
2003/12/31,46.0,46.08,45.9,45.92,5.56
2004/01/02,46.14,47.3,45.92,47.3,5.73
2004/01/05,47.3,47.84,47.3,47.8,5.79
2004/01/06,48.0,48.1,47.7,47.8,5.79
2004/01/07,47.95,48.44,47.8,47.8,5.79
2004/01/08,47.9,48.18,47.8,48.08,5.82
2004/01/09,48.4,48.74,48.38,48.41,5.86
2004/01/12,48.41,48.59,48.3,48.53,5.88
2004/01/13,48.7,48.7,48.21,48.48,5.87
2004/01/14,48.3,49.11,48.23,48.95,5.93
2004/01/15,49.0,49.0,48.72,48.94,5.93
2004/01/16,49.0,49.19,48.8,48.9,5.92
2004/01/27,49.5,49.51,49.1,49.11,5.95
2004/01/28,49.1,49.2,48.91,49.03,5.94
2004/01/29,48.9,48.9,48.46,48.6,5.89
2004/01/30,48.6,48.62,48.5,48.52,5.88
2004/02/02,48.53,48.56,48.01,48.3,5.85
2004/02/03,47.99,47.99,47.32,47.66,5.77
2004/02/04,47.5,47.59,47.35,47.45,5.75
2004/02/05,47.3,47.68,47.2,47.45,5.75
2004/02/06,47.5,47.98,47.5,47.91,5.8
2004/02/09,48.0,48.6,48.0,48.5,5.87
2004/02/10,48.7,48.7,48.25,48.54,5.88
2004/02/11,48.5,48.5,48.26,48.37,5.86
2004/02/12,48.5,49.26,48.4,48.59,5.89
2004/02/13,48.61,49.47,48.6,49.46,5.99
2004/02/16,49.46,49.46,49.04,49.2,5.96
2004/02/17,49.21,49.5,49.16,49.5,6.0
2004/02/18,49.55,49.7,49.32,49.53,6.0
2004/02/19,49.57,50.1,49.57,50.0,6.06
2004/02/20,50.0,50.05,49.7,50.0,6.06
2004/02/23,49.95,50.0,49.5,49.56,6.0
2004/02/24,49.2,49.62,49.16,49.45,5.99
2004/02/25,49.4,49.62,49.36,49.6,6.01
2004/02/26,49.75,50.05,49.7,49.8,6.03
2004/02/27,50.0,50.6,50.0,50.55,6.12
2004/03/01,50.8,52.0,50.8,51.95,6.29
2004/03/02,52.1,52.9,52.1,52.8,6.4
2004/03/03,52.8,52.95,52.5,52.7,6.38
2004/03/04,53.0,53.15,52.55,53.15,6.44
2004/03/05,53.5,53.7,52.5,52.5,6.36
2004/03/08,52.6,52.9,51.75,51.85,6.28
2004/03/09,51.6,52.0,51.45,52.0,6.3
2004/03/10,51.95,52.1,51.2,51.35,6.22
2004/03/11,50.95,51.45,50.75,51.4,6.23
2004/03/12,50.8,50.8,50.3,50.45,6.11
2004/03/15,51.0,51.0,49.65,49.65,6.01
2004/03/16,49.32,49.38,48.8,49.0,5.93
2004/03/17,49.7,49.7,49.0,49.08,5.94
2004/03/18,49.7,50.8,49.5,50.7,6.14
2004/03/19,50.7,51.1,50.4,51.0,6.18
2004/03/22,47.43,47.43,47.43,47.43,5.74
2004/03/23,44.5,47.17,44.5,46.4,5.62
2004/03/24,47.3,47.3,46.45,46.95,5.69
2004/03/25,46.95,47.25,46.75,46.8,5.67
2004/03/26,47.24,47.3,46.7,46.79,5.67
2004/03/29,48.7,49.1,48.28,49.1,5.95
2004/03/30,49.1,49.54,48.8,49.3,5.97
2004/03/31,49.5,49.5,48.98,48.99,5.93
2004/04/01,49.3,49.3,48.4,48.7,5.9
2004/04/02,49.0,49.2,48.9,48.91,5.92
2004/04/05,49.5,50.5,49.19,50.0,6.06
2004/04/06,50.2,50.45,49.9,49.92,6.05
2004/04/07,49.93,49.98,49.8,49.87,6.04
2004/04/08,49.9,50.1,49.9,50.1,6.07
2004/04/09,49.9,49.9,49.6,49.8,6.03
2004/04/12,50.05,51.05,50.05,50.95,6.17
2004/04/13,50.95,51.1,50.7,50.85,6.16
2004/04/14,50.35,51.4,50.35,51.4,6.23
2004/04/15,51.4,51.6,50.35,50.4,6.1
2004/04/16,50.4,51.35,50.35,51.15,6.2
2004/04/19,51.2,51.3,50.85,50.9,6.16
2004/04/20,51.5,51.5,50.9,50.9,6.16
2004/04/21,50.8,51.35,50.8,51.25,6.21
2004/04/22,51.4,52.2,50.3,50.5,6.12
2004/04/23,50.7,51.15,50.7,50.8,6.15
2004/04/26,50.8,51.15,50.8,50.9,6.16
2004/04/27,50.9,50.9,50.1,50.4,6.1
2004/04/28,50.4,50.55,49.8,49.95,6.05
2004/04/29,49.58,49.7,48.38,48.69,5.9
2004/04/30,48.35,48.5,45.8,47.5,5.75
2004/05/03,47.1,47.1,45.9,45.95,5.57
2004/05/04,46.3,47.0,46.06,47.0,5.69
2004/05/05,47.1,47.1,44.7,44.7,5.41
2004/05/06,45.5,45.7,44.65,45.3,5.49
2004/05/07,45.0,45.9,45.0,45.75,5.54
2004/05/10,45.15,45.15,44.4,44.6,5.4
2004/05/11,44.6,45.1,43.7,44.72,5.42
2004/05/12,45.37,45.75,45.2,45.5,5.51
2004/05/13,45.3,45.35,44.8,45.0,5.45
2004/05/14,45.3,45.42,44.1,44.1,5.34
2004/05/17,43.51,43.51,41.02,41.02,4.97
2004/05/18,41.1,42.55,41.1,41.7,5.05
2004/05/19,43.4,44.61,42.7,44.61,5.4
2004/05/20,44.2,45.35,43.85,44.5,5.39
2004/05/21,44.5,45.59,44.11,45.21,5.48
2004/05/24,45.0,45.69,44.5,45.12,5.46
2004/05/25,45.0,45.6,44.65,44.95,5.44
2004/05/26,46.49,46.49,45.77,45.95,5.57
2004/05/27,46.0,46.1,45.76,45.95,5.57
2004/05/28,46.15,46.3,46.1,46.3,5.61
2004/05/31,46.3,46.31,45.3,45.35,5.49
2004/06/01,45.2,45.35,44.81,45.2,5.47
2004/06/02,44.8,44.9,44.62,44.69,5.41
2004/06/03,44.8,45.15,43.6,43.64,5.29
2004/06/04,43.5,43.64,42.8,43.02,5.21
2004/06/07,44.0,45.25,44.0,45.2,5.47
2004/06/08,45.9,46.0,45.2,45.6,5.52
2004/06/09,45.6,45.6,45.31,45.39,5.5
